iter	Passed	Remaining
0	139	41831
1	140	20909
2	140	13925
3	141	10438
4	141	8342
5	141	6950
6	142	5947
7	142	5198
8	142	4619
9	143	4153
10	143	3772
11	143	3453
12	144	3185
13	144	2954
14	144	2754
15	145	2579
16	145	2424
17	146	2287
18	146	2164
19	146	2053
20	147	1953
21	147	1862
22	147	1779
23	148	1703
24	148	1632
25	148	1567
26	149	1507
27	149	1451
28	149	1401
29	150	1352
30	150	1306
31	150	1263
32	151	1223
33	151	1185
34	151	1149
35	152	1116
36	152	1084
37	152	1053
38	153	1025
39	153	997
40	153	971
41	154	947
42	154	923
43	154	901
44	155	879
45	155	859
46	155	839
47	156	820
48	156	802
49	156	784
50	157	767
51	157	751
52	157	736
53	158	720
54	158	706
55	158	692
56	159	679
57	159	666
58	160	654
59	160	641
60	160	630
61	161	618
62	161	607
63	161	596
64	162	586
65	162	576
66	162	566
67	163	557
68	163	547
69	163	538
70	164	529
71	164	521
72	164	513
73	165	504
74	165	496
75	166	489
76	166	481
77	166	474
78	167	467
79	167	460
80	167	453
81	168	447
82	168	440
83	168	434
84	169	428
85	169	421
86	169	415
87	170	410
88	170	404
89	170	398
90	171	393
91	171	388
92	172	382
93	172	377
94	172	372
95	173	367
96	173	362
97	173	358
98	174	353
99	174	348
100	174	344
101	175	339
102	175	335
103	175	331
104	176	327
105	176	322
106	176	318
107	177	314
108	177	310
109	177	307
110	178	303
111	178	299
112	178	295
113	179	292
114	179	288
115	179	285
116	180	281
117	180	278
118	180	274
119	181	271
120	181	268
121	181	265
122	182	261
123	182	258
124	182	255
125	183	252
126	183	249
127	183	246
128	183	243
129	184	240
130	184	238
131	184	235
132	185	232
133	185	230
134	186	227
135	186	224
136	186	222
137	187	219
138	187	217
139	187	214
140	188	212
141	188	209
142	188	207
143	189	204
144	189	202
145	189	200
146	190	197
147	190	195
148	190	193
149	191	191
150	191	188
151	191	186
152	192	184
153	192	182
154	192	180
155	193	178
156	193	176
157	193	174
158	194	172
159	194	170
160	194	168
161	194	166
162	195	164
163	195	162
164	195	160
165	196	158
166	196	156
167	196	154
168	197	152
169	197	151
170	197	149
171	198	147
172	198	145
173	198	144
174	199	142
175	199	140
176	199	138
177	200	137
178	200	135
179	200	133
180	201	132
181	201	130
182	201	129
183	202	127
184	202	125
185	202	124
186	203	122
187	203	121
188	203	119
189	204	118
190	204	116
191	204	115
192	205	113
193	205	112
194	205	110
195	206	109
196	206	108
197	207	106
198	207	105
199	207	103
200	208	102
201	208	101
202	208	99
203	209	98
204	209	97
205	209	95
206	210	94
207	210	93
208	210	91
209	211	90
210	211	89
211	211	87
212	212	86
213	212	85
214	212	84
215	213	82
216	213	81
217	214	80
218	214	79
219	214	78
220	215	76
221	215	75
222	215	74
223	216	73
224	216	72
225	216	70
226	217	69
227	217	68
228	218	67
229	218	66
230	218	65
231	219	64
232	219	63
233	219	61
234	220	60
235	220	59
236	220	58
237	221	57
238	221	56
239	221	55
240	222	54
241	222	53
242	222	52
243	223	51
244	223	50
245	223	49
246	223	48
247	224	47
248	224	46
249	224	44
250	225	43
251	225	42
252	225	41
253	226	40
254	226	39
255	226	39
256	227	38
257	227	37
258	228	36
259	228	35
260	228	34
261	228	33
262	229	32
263	229	31
264	229	30
265	230	29
266	230	28
267	230	27
268	231	26
269	231	25
270	231	24
271	232	23
272	232	22
273	232	22
274	232	21
275	233	20
276	233	19
277	233	18
278	234	17
279	234	16
280	234	15
281	235	15
282	235	14
283	235	13
284	235	12
285	236	11
286	236	10
287	236	9
288	237	9
289	237	8
290	237	7
291	238	6
292	238	5
293	238	4
294	239	4
295	239	3
296	239	2
297	239	1
298	240	0
299	240	0
